,R1-f,R1-p,R1-r,R2-f,R2-p,R2-r,Rl-f,Rl-p,Rl-r,Loss
glove top-3,19.863578482325384,17.084033477442098,27.30687982540559,3.656076681551612,3.0763936084371766,5.120395382252748,19.62626492026311,17.409745387844374,25.007215125921185,0.02131861179667567
glove top-4,21.22109625764515,16.38164047879306,33.794695480176244,4.851358710864269,3.628973075074935,7.988640674260982,21.41670145036715,17.19675974398911,30.873651974222284,0.02131861179667567
glove top-5,20.495349203188944,14.758630476022999,37.482069925803565,4.694901623718557,3.2986768260368313,8.925741280428218,20.879047763413542,15.715715498300819,33.84206359342535,0.02131861179667567
